Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,com,jour,mois,an,hrmn,lum,agg,int,atm,col,lat,long,catr,circ,nbv,surf,infra,situ,vma,catv,obs,obsm,choc,manv,motor,pluie_mm,pluie_presence,pluie_cumul_3h,pluie_cumul_6h,pluie_cumul_24h,temperature,grav_label,grav_ord,grave,type_vehicule,eclairage,atm_groupe,chaussee_mouillee,type_route,type_collision,role,equipement,sexe_label,en_agglomeration,motif,age,age_groupe,date_acc,jour_semaine,weekend,heure,nuit,heure_groupe,log_pluie_3h,log_pluie_6h,log_pluie_24h,pluie_6h_classe
202400051865,203 865 521,155 690 519,C01,1,1,1,1,1994.0,0,1,0,-1,-1, -1,-1,97407,13,2,2024,16:15,1,2,1,1,4," -20,93434000","55,29140000",4,1,1,1,0,1,50,7,0,2,3,1,1,0.0,0,0.0,0.0,0.0,31.5,indemne,0,0,voiture,jour,normale,0,communale,autre/multiple,conducteur,ceinture,homme,1,inconnu,30.0,25-35,2024-02-13,1,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051935,203 865 334,155 690 381,A01,1,1,4,2,1963.0,3,1,0,-1,-1, -1,-1,97409,16,2,2024,07:50,1,1,1,1,3," -20,94359000","55,64922000",2,3,4,1,0,1,90,7,3,0,1,2,1,,0,,,,,blessé léger,1,0,voiture,jour,normale,0,nationale,côté,conducteur,ceinture,femme,0,courses,61.0,50-65,2024-02-16,4,0,7,0,pointe matin,,,,
202400051935,203 865 338,155 690 385,B01,1,1,1,1,1997.0,0,1,0,-1,-1, -1,-1,97409,16,2,2024,07:50,1,1,1,1,3," -20,94359000","55,64922000",2,3,4,1,0,1,90,10,0,2,7,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,nationale,côté,conducteur,ceinture,homme,0,inconnu,27.0,25-35,2024-02-16,4,0,7,0,pointe matin,,,,
202400051946,203 865 313,155 690 367,B01,1,1,4,2,2005.0,5,1,0,-1,-1, -1,-1,97416,11,7,2024,18:15,3,1,1,1,2," -21,33115000","55,45622000",2,1,2,1,0,1,110,7,0,9,4,2,1,0.0,0,0.0,0.0,0.0,22.7,blessé léger,1,0,voiture,nuit sans éclairage,normale,0,nationale,arrière,conducteur,ceinture,femme,0,promenade,19.0,18-25,2024-07-11,3,0,18,0,pointe soir,0.0,0.0,0.0,0 mm
202400051946,203 865 320,155 690 370,A01,1,1,4,1,2002.0,5,1,0,-1,-1, -1,-1,97416,11,7,2024,18:15,3,1,1,1,2," -21,33115000","55,45622000",2,1,2,1,0,1,110,7,0,2,1,2,1,0.0,0,0.0,0.0,0.0,22.7,blessé léger,1,0,voiture,nuit sans éclairage,normale,0,nationale,arrière,conducteur,ceinture,homme,0,promenade,22.0,18-25,2024-07-11,3,0,18,0,pointe soir,0.0,0.0,0.0,0 mm
202400051963,203 865 268,155 690 335,A01,1,1,1,1,2002.0,4,1,0,-1,-1, -1,-1,97416,11,7,2024,11:30,1,1,1,1,5," -21,33278000","55,45891000",2,1,2,1,0,1,110,10,0,2,0,17,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,nationale,autre/multiple,conducteur,ceinture,homme,0,utilisation pro,22.0,18-25,2024-07-11,3,0,11,0,matin,,,,
202400051963,203 865 279,155 690 340,B01,1,1,1,1,1986.0,4,1,0,-1,-1, -1,-1,97416,11,7,2024,11:30,1,1,1,1,5," -21,33278000","55,45891000",2,1,2,1,0,1,110,10,0,9,8,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,nationale,autre/multiple,conducteur,ceinture,homme,0,utilisation pro,38.0,35-50,2024-07-11,3,0,11,0,matin,,,,
202400051963,203 865 284,155 690 344,C01,2,2,1,2,2009.0,5,1,0,-1,-1, -1,-1,97416,11,7,2024,11:30,1,1,1,1,5," -21,33278000","55,45891000",2,1,2,1,0,1,110,7,0,2,3,11,1,,0,,,,,indemne,0,0,voiture,jour,normale,0,nationale,autre/multiple,passager,ceinture,femme,0,promenade,15.0,<18,2024-07-11,3,0,11,0,matin,,,,
202400051963,203 865 286,155 690 344,C01,1,1,4,2,1988.0,5,1,0,-1,-1, -1,-1,97416,11,7,2024,11:30,1,1,1,1,5," -21,33278000","55,45891000",2,1,2,1,0,1,110,7,0,2,3,11,1,,0,,,,,blessé léger,1,0,voiture,jour,normale,0,nationale,autre/multiple,conducteur,ceinture,femme,0,promenade,36.0,35-50,2024-07-11,3,0,11,0,matin,,,,
202400051963,203 865 296,155 690 353,D01,1,1,1,1,1960.0,4,1,0,-1,-1, -1,-1,97416,11,7,2024,11:30,1,1,1,1,5," -21,33278000","55,45891000",2,1,2,1,0,1,110,10,0,2,2,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,nationale,autre/multiple,conducteur,ceinture,homme,0,utilisation pro,64.0,50-65,2024-07-11,3,0,11,0,matin,,,,
202400051972,203 865 251,155 690 322,A01,1,1,1,1,2003.0,1,8,0,-1,-1, -1,-1,97407,11,7,2024,16:30,1,2,1,1,6," -20,94218689","55,29247570",4,2,2,1,9,1,50,50,0,1,1,1,3,0.0,0,0.0,0.0,0.0,25.0,indemne,0,0,EDP (trottinette),jour,normale,0,communale,autre/multiple,conducteur,non déterminable,homme,1,domicile-travail,21.0,18-25,2024-07-11,3,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051972,203 865 258,155 690 322,A01,10,3,4,1,1957.0,0,0,-1,-1,4,3,1,97407,11,7,2024,16:30,1,2,1,1,6," -20,94218689","55,29247570",4,2,2,1,9,1,50,50,0,1,1,1,3,0.0,0,0.0,0.0,0.0,25.0,blessé léger,1,0,EDP (trottinette),jour,normale,0,communale,autre/multiple,piéton,sans équipement,homme,1,inconnu,67.0,65+,2024-07-11,3,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400052029,203 865 122,155 690 225,A01,1,1,3,1,2014.0,5,0,-1,-1,0,0,-1,97401,21,9,2024,11:30,1,2,1,1,1," -21,21674100","55,35021000",3,2,2,1,0,1,50,1,0,2,8,0,5,0.0,0,0.0,0.0,0.19999999999999468,19.3,hospitalisé,2,1,vélo/VAE,jour,normale,0,départementale,frontale,conducteur,sans équipement,homme,1,promenade,10.0,<18,2024-09-21,5,1,11,0,matin,0.0,0.0,0.1823215567939502,0 mm
202400052029,203 865 124,155 690 228,B01,1,1,1,1,1989.0,5,8,-1,-1,0,0,-1,97401,21,9,2024,11:30,1,2,1,1,1," -21,21674100","55,35021000",3,2,2,1,0,1,50,7,0,2,2,1,1,0.0,0,0.0,0.0,0.19999999999999468,19.3,indemne,0,0,voiture,jour,normale,0,départementale,frontale,conducteur,non déterminable,homme,1,promenade,35.0,25-35,2024-09-21,5,1,11,0,matin,0.0,0.0,0.1823215567939502,0 mm
202400052082,203 865 007,155 690 139,A01,1,1,3,1,1970.0,5,2,-1,-1,0,0,-1,97404,27,3,2024,20:55,3,2,1,1,2," -21,26211100","55,35436200",3,2,2,1,0,1,50,80,0,2,1,1,3,0.0,0,0.0,0.0,0.0,24.3,hospitalisé,2,1,vélo/VAE,nuit sans éclairage,normale,0,départementale,arrière,conducteur,casque,homme,1,promenade,54.0,50-65,2024-03-27,2,0,20,0,nuit/soirée,0.0,0.0,0.0,0 mm
202400052082,203 865 011,155 690 143,B01,1,1,1,1,1987.0,4,1,-1,-1,0,0,-1,97404,27,3,2024,20:55,3,2,1,1,2," -21,26211100","55,35436200",3,2,2,1,0,1,50,14,0,2,4,1,1,0.0,0,0.0,0.0,0.0,24.3,indemne,0,0,poids lourd,nuit sans éclairage,normale,0,départementale,arrière,conducteur,ceinture,homme,1,utilisation pro,37.0,35-50,2024-03-27,2,0,20,0,nuit/soirée,0.0,0.0,0.0,0 mm
